ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
771;M       ;456.000;30;TEC     ;SOL     ;56;131;RANCAGUA        ;0;243.761;0;0;964;11.067;70;2;900.000;NO;NO ACEPTA;
772;F       ;81.500;60;TEC     ;SOL     ;15;67;VINA DEL MAR    ;0;2.800.000;12.056.965;0;0;86.757;45.487;0;8.000.000;SI;NO ACEPTA;
773;M       ;500.000;30;UNV     ;SOL     ;27;226;CONCEPCION      ;0;123.885;0;250.000;0;0;68;1;1.900.000;NO;ACEPTA;
774;M       ;599.000;43;MED     ;CAS     ;31;119;SANTIAGO        ;0;244.595;0;250.000;313;0;1.125;1;2.100.000;SI;ACEPTA;
775;M       ;750.000;49;UNV     ;SOL     ;138;1;ARICA           ;0;426.436;0;719.429;2.284;0;1.336;2;1.500.000;NO;ACEPTA;
776;F       ;1.620.000;50;BAS     ;CAS     ;138;88;SANTIAGO        ;0;1.250.000;0;0;0;47.530;0;0;8.000.000;SI;NO ACEPTA;
777;M       ;671.000;42;TEC     ;CAS     ;90;98;SANTIAGO        ;0;0;0;0;0;27.478;0;0;2.700.000;NO;NO ACEPTA;
778;F       ;7.000.000;36;TEC     ;VIU     ;96;88;SANTIAGO        ;0;1.300.000;0;0;3.140;0;161;1;4.400.000;NO;NO ACEPTA;
779;F       ;1.386.000;43;TEC     ;SOL     ;82;108;SANTIAGO        ;0;-7.112;0;1.000.000;5.845;22.989;2.041;3;1.100.000;SI;NO ACEPTA;
780;M       ;2.500.000;53;MED     ;CAS     ;27;226;CONCEPCION      ;0;6.810.165;0;4.489.464;8.213;52.740;7.108;2;6.800.000;NO;ACEPTA;
781;M       ;1.370.000;49;MED     ;CAS     ;31;119;SANTIAGO        ;0;230.259;0;0;684;0;436;3;6.200.000;NO;ACEPTA;
782;F       ;2.365.000;44;MED     ;CAS     ;82;86;SANTIAGO        ;0;1.581.828;0;0;1.961;0;0;1;8.000.000;NO;NO ACEPTA;
783;M       ;525.000;45;UNV     ;SOL     ;31;119;SANTIAGO        ;26.954;660;0;700.000;433;0;714;1;1.700.000;NO;ACEPTA;
784;M       ;750.000;35;TEC     ;SOL     ;16;89;SANTIAGO        ;0;490.455;0;0;48;12.843;225;1;3.300.000;NO;NO ACEPTA;
785;F       ;1.000.000;44;MED     ;CAS     ;90;118;SANTIAGO        ;0;0;0;0;385;0;14.391;2;4.700.000;NO;NO ACEPTA;
786;M       ;650.000;41;TEC     ;CAS     ;63;300;CASTRO          ;0;894.328;0;0;5;0;0;1;1.800.000;NO;NO ACEPTA;
787;F       ;8.000.000;34;MED     ;VIU     ;74;272;VALDIVIA        ;254.925;593.320;0;0;357;0;0;1;3.000.000;SI;NO ACEPTA;
788;F       ;4.420.000;28;BAS     ;SOL     ;68;226;CONCEPCION      ;0;0;0;0;1;1.726;2.586;1;2.000.000;NO;NO ACEPTA;
789;F       ;50.000;46;TEC     ;SOL     ;122;80;SANTIAGO        ;0;600.000;0;0;1.398;0;0;1;800.000;SI;NO ACEPTA;
790;M       ;65.700;52;MED     ;CAS     ;55;90;SANTIAGO        ;3.703.789;191.906;0;1.463.281;3.145;0;3.614;2;8.000.000;SI;ACEPTA;
