ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
954;F       ;8000000;38;TEC     ;VIU     ;14;87;SANTIAGO        ;1586061;148797;0;284554;2037;0;517;1;8000000;NO;NO ACEPTA;
955;F       ;65000;62;MED     ;SOL     ;61;284;OSORNO          ;1194236;0;0;0;1538;0;0;1;700000;SI;NO ACEPTA;
956;M       ;7730000;43;UNV     ;CAS     ;38;94;SANTIAGO        ;0;298681;0;135836;1274;0;699;3;900000;NO;ACEPTA;
957;F       ;75000;61;TEC     ;SOL     ;52;88;SANTIAGO        ;0;1040000;0;0;29;31798;0;1;8000000;SI;NO ACEPTA;
958;M       ;480000;34;MED     ;CAS     ;85;88;SANTIAGO        ;0;190181;0;0;46;0;0;1;1800000;NO;NO ACEPTA;
959;F       ;7000000;34;TEC     ;SEP     ;88;67;VINA DEL MAR    ;0;500000;0;0;1343;0;0;3;1000000;NO;NO ACEPTA;
960;M       ;63000;55;UNV     ;CAS     ;55;90;SANTIAGO        ;0;1597000;0;15073;239;0;71;1;500000;NO;ACEPTA;
961;M       ;835000;49;UNV     ;SEP     ;76;98;SANTIAGO        ;1001973;1074440;0;978720;1130;0;962;2;2100000;NO;ACEPTA;
962;F       ;64000;50;MED     ;SOL     ;69;53;SAN FELIPE      ;0;1558852;0;110314;88;53656;0;1;8000000;SI;NO ACEPTA;
963;F       ;4600000;32;TEC     ;SOL     ;12;13;CALAMA          ;0;0;0;0;758;0;259;1;1800000;NO;NO ACEPTA;
964;F       ;500000;49;TEC     ;CAS     ;77;227;TALCAHUANO      ;0;913419;0;0;480;0;576;1;1100000;NO;NO ACEPTA;
965;M       ;867000;45;UNV     ;CAS     ;31;119;SANTIAGO        ;0;5374;0;289003;283;0;659;1;4100000;NO;ACEPTA;
966;M       ;1044000;55;TEC     ;CAS     ;120;116;SANTIAGO        ;1438520;232488;0;187326;1672;0;224;1;3600000;NO;ACEPTA;
967;M       ;4840000;40;MED     ;CAS     ;29;90;SANTIAGO        ;0;47237;506220;2000000;499;0;2664;2;2400000;SI;ACEPTA;
968;F       ;6000000;40;TEC     ;VIU     ;34;103;SANTIAGO        ;0;192928;0;500000;805;0;506;1;1900000;NO;NO ACEPTA;
